run_time,ref_date,total_limit_up,total_consecutive,max_board,tier_2_cnt,tier_3_cnt,tier_4_cnt,tier_5_cnt,tier_ge6_cnt,jinji_rate,jinji_molecule,jinji_denominator,temp_score,temp_level,dragon_code,dragon_name,dragon_board,dragon_reason,dragon_seal_money_yuan,data_sufficient
2026-09-01 21:11:53,2026-09-01,83,25,7,13,6,3,0,3,0.4737,9,19,90,🔥 高温（市场极度活跃）,002084,海鸥住工,7,"实控人变更+装修家具；1. 实控人变更：据2026年8月25日晚公告，海鸥住工控股股东中馀投资与博泰车联网科技（上海）股份有限公司签署协议，拟转让公司1.29亿股股份（占总股本20%）。完成后，博泰车联将成为公司控股股东，应臻恺先生将成为实际控制人。同日，中馀投资另向福清曜鸿转让3236.74万股股份（占总股本5.01%）。

2. 装修家具：据2026年半年报，公司主要经营活动为：装配式整装厨卫空间内高档卫生洁具、陶瓷、浴缸、淋浴房、浴室柜、整体橱柜、瓷砖等全品类部品部件的研发、制造和服务，在智能家居领域主要进行智能门户、安防工程的持续布局。",171720000.0,True
2026-09-02 22:06:27,2026-09-02,52,20,4,13,4,3,0,0,0.24,6,25,60,🌤️ 常温（市场正常）,601086,国芳集团,4,"零售+中报增长；9月1日，7部门印发关于推动商品消费扩容升级的实施意见。

1. 零售：据2026年半年报，公司从事以百货购物中心为主、超市为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业；公司营业收入主要来自于公司旗下各门店的商品销售收入以及功能商户的租金收入，经营模式主要包括联营、经销、代销、租赁和餐饮服务，其中联营模式是公司最主要的经营模式。

2. 中报增长：8月25日晚公告，2026年1-6月归属上市公司股东的净利润：7113.36万元，同比上年增长：214.09%。",306061000.0,True
2026-09-03 15:55:07,2026-09-03,44,15,5,10,1,2,2,0,0.2,4,20,60,🌤️ 常温（市场正常）,601086,国芳集团,5,"零售+中报增长；9月1日，7部门印发关于推动商品消费扩容升级的实施意见。

1. 零售：据2026年半年报，公司从事以百货购物中心为主、超市为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业；公司营业收入主要来自于公司旗下各门店的商品销售收入以及功能商户的租金收入，经营模式主要包括联营、经销、代销、租赁和餐饮服务，其中联营模式是公司最主要的经营模式。

2. 中报增长：8月25日晚公告，2026年1-6月归属上市公司股东的净利润：7113.36万元，同比上年增长：214.09%。",106778000.0,True
2026-09-04 22:50:02,2026-09-04,41,10,5,8,0,1,1,0,0.0667,1,15,60,🌤️ 常温（市场正常）,605577,龙版传媒,5,"AI视频+文化传媒；1. AI视频：据2026年半年报，公司首部AI漫剧《穿越1988》完成170集制作上线，全网播放量突破1.2亿，红果热度值超4000万；“耕耘”大模型启动多模态升级，“耕耘易校通”实现公司出版单位部署应用。

2. 文化传媒：据2026年半年报，公司主要从事图书、期刊及电子出版物的出版、发行及印刷服务等业务，拥有出版物“编、印、发”完整的产业链，构建了图书、期刊、数字出版等各种传媒业态协调发展、相互补充的良好格局；省新华书城重装营业，“数媒阅读网”正式上线运营，公司上线运营“龙学在线”综合服务平台；发行板块北国书香网线上业务持续拓展，平台粉丝规模近193万人，盈利模式初步成型。",83332400.0,True
2026-09-06 10:39:56,2026-09-05,0,0,0,0,0,0,0,0,,0,0,30,❄️ 低温（市场低迷）,,,,,,False
2026-09-07 15:53:38,2026-09-06,0,0,0,0,0,0,0,0,,0,0,30,❄️ 低温（市场低迷）,,,,,,False
2026-09-08 09:18:43,2026-09-07,95,17,6,9,5,0,1,2,,0,0,60,🌤️ 常温（市场正常）,601086,国芳集团,6,"零售+中报增长；9月1日，7部门印发关于推动商品消费扩容升级的实施意见。

1. 零售：据2026年半年报，公司从事以百货购物中心为主、超市为辅的连锁零售业务，目前为甘肃省内最大的连锁零售企业；公司营业收入主要来自于公司旗下各门店的商品销售收入以及功能商户的租金收入，经营模式主要包括联营、经销、代销、租赁和餐饮服务，其中联营模式是公司最主要的经营模式。

2. 中报增长：8月25日晚公告，2026年1-6月归属上市公司股东的净利润：7113.36万元，同比上年增长：214.09%。",139620000.0,True
2026-09-08 19:42:53,2026-09-08,74,19,6,11,4,3,0,1,0.4706,8,17,70,🔥 高温（市场极度活跃）,002909,集泰股份,6,"液冷+有机硅；1. 液冷：据2026年9月2日公告，公司液冷硅油目前处于商业化应用前的关键验证阶段，尚未形成规模化订单及销售收入，未对公司当前经营业绩产生重大影响。

2. 有机硅：据2026年半年报，公司建筑领域产品以有机硅密封胶为主，并配套建筑涂料等产品；公司的胶粘剂以有机硅密封胶为核心，同时包含聚氨酯密封胶、硅烷改性密封胶、环氧胶、丙烯酸胶、热熔胶等多个系列。""1.484万吨有机硅新能源密封胶项目""已建成投产。",18533500.0,True
2026-09-10 22:49:38,2026-09-10,36,10,4,7,2,1,0,0,0.1579,3,19,50,🌤️ 常温（市场正常）,000978,桂林旅游,4,"旅游+AI应用；1. 旅游：据2026年半年报，公司主要从事旅游服务及与旅游服务相关的业务，主营业务包括游船客运、景区旅游业务、酒店、公路旅行客运、出租车业务等；公司拥有桂林地区核心旅游资源两江四湖景区、银子岩景区、龙胜温泉景区、丰鱼岩景区的经营权，并与控股股东桂林旅游投资集团有限公司合作建设七星景区，拥有五星级酒店漓江大瀑布饭店100%股权

2. AI应用：据2026年9月9日公告，公司控股子公司一城游公司旗下“桂林一城游”平台接入DeepSeek大模型，搭建“桂林一城游”智慧文旅综合平台，推出“桂林旅游AI小助手”，涵盖AI智能客服、智能行程规划、精准营销等功能，主要对公司旅游主业进行赋能；银子岩景区迭代升级AI伴游财神萌宠文创玩具",70007300.0,True
2026-09-12 22:00:49,2026-09-11,40,9,4,4,4,1,0,0,0.4,4,10,50,🌤️ 常温（市场正常）,002790,瑞尔特,4,"装修家具+智能家居；1. 装修家具：据2026年半年报，公司主要从属于家居家装卫浴行业，产品主要应用于家庭住宅、宾馆酒店、商场、写字楼等房屋建筑的卫生间设施。

2. 智能家居：据2026年半年报，瑞尔特已形成以智能坐便器为核心的智能卫浴产品解决方案和卫浴空间智慧互联解决方案等产品体系，智能卫浴产品主要包括一体式智能坐便器、智能坐便盖及具备AI语音交互的智能浴室柜等；",385166000.0,True
2026-09-17 16:05:32,2026-09-16,89,13,6,10,1,1,0,1,0.375,3,8,70,🔥 高温（市场极度活跃）,000993,闽东电力,6,海峡两岸+风电；公司位于福建省。据2026年半年报，公司是宁德市唯一一家电力行业上市公司，电源资产覆盖水电、风电、光伏三大领域。截至2026年6月底，公司风电权益装机容量19.44万千瓦，占33.0%；公司拥有控股风电场4个、非控股风电场1个。,43368900.0,True
2026-09-20 22:22:25,2026-09-19,0,0,0,0,0,0,0,0,,0,0,30,❄️ 低温（市场低迷）,,,,,,False
2026-09-21 21:31:58,2026-09-21,105,31,5,22,5,3,1,0,,0,0,70,🔥 高温（市场极度活跃）,001216,华瓷股份,5,"电阻电容+氧化锆；9月20日央视财经报道，电子工业大米（mlcc）价格最高涨十倍

1. 电阻电容：据2026年9月11日互动易，公司子公司氧化锆粉体纯度最高可达99.995%，产品可适配新能源研磨、齿科陶瓷、MLCC等不同领域使用需求。

2. 氧化锆：据2026年9月17日公告，公司氧化锆相关业务来源于对江西金环颜料有限公司的股权收购，公司2024年收购其20%股权、2026年6月收购31%股权，合计持股51%实现控股并纳入合并报表范围，氧化锆产品主要用于锂电行业。",278774000.0,True
